id,name,city,video,time_of_day,start_time,end_time,downloaded,finished
551,Caranavi,Caranavi,T_O4lojb7Wo,0,6,801,,
552,La Paz,La Paz,LJDPBxG1FjU,0,11,3229,,
554,Trinidad,Trinidad,cbocYysKxOc,0,3,2359,,
555,Santa Cruz de la Sierra,Santa Cruz de la Sierra,EKps57wUalI,0,83,2661,,
556,San José de Chiquitos,San José de Chiquitos,v90ZGf3njp0,0,60,367,,
557,Puerto Suárez,Puerto Suárez,949WwaJWsuw,0,15,278,,
558,Aquidauana,Aquidauana,HQXYp2eOngM,0,40,519,,
559,Campo Grande,Campo Grande,98yLpKYBPOM,0,10,2714,,
560,Cochabamba,Cochabamba,sGaOnQ71Skw,0,13,3250,,
561,Oruro,Oruro,kf2JCik_5zI,0,43,2033,,
562,Asunción,Asunción,SyWYr61V_3o,0,12,935,,
563,Punta del Este,Punta del Este,DfCyGGZJe5g,0,26,398,,
564,Chuy,Chuy,lOLKiexEuy4,0,60,350,,
565,José Pedro Varela,José Pedro Varela,ESC_uAlLVbI,0,19,1035,,
566,Minas,Minas,TIlq30myAdY,0,85,380,,
568,Montevideo,Montevideo,Sz9nRHTofkQ,0,1,1393,,
571,Fray Bentos,Fray Bentos,biaaHNOsI3I,1,28,1166,,
572,Guatemala City,Guatemala City,lso5Zyz-sMw,0,33,1343,,
575,Comayagua,Comayagua,coWiD5iJzdc,0,5,2865,,
576,Tegucigalpa,Tegucigalpa,T3eozp8TZpQ,0,95,997,,
577,La Ceiba,La Ceiba,GDOrxIjjSLU,0,21,3207,,
579,San Pedro Sula,San Pedro Sula,wv9KsuviuUM,0,50,1714,,
580,San Salvador,San Salvador,bemqMHN0Dlc,0,5,2185,,
582,Managua,Managua,X2oPzSPsiPQ,0,75,230,,
584,San Juan del Sur,San Juan del Sur,9_TpO0TIJKg,0,26,473,,
585,San José,San José,ZPOuwPi0Ghs,0,0,475,,
586,Kingston,Kingston,XeA0ZTmX6i8,0,80,123,,
587,Ocho Rios,Ocho Rios,55-rBgI1MUA,0,40,485,,
589,Montego Bay,Montego Bay,LX-MWknZnZc,1,5,3488,,
590,Spanish Town,Spanish Town,cGLbNBqcRgY,0,15,1101,,
595,Port-au-Prince,Port-au-Prince,ySkoRAbT70U,0,82,2290,,
596,San Juan,San Juan,HJSa0WeXTMk,0,37,843,,
597,Carolina,Carolina,fHKSXeYg9g4,1,0,754,,
598,Isabela,Isabela,aJ3eOJBzwHo,0,26,868,,
602,Caguas,Caguas,FZ7UJ_Gmm6k,0,0,2711,,
603,Princes Town,Princes Town,u07o5uniPqg,0,0,112,,
604,Petit Valley,Petit Valley,E9CzlKpiEoU,0,56,693,,
608,Victoria,Victoria,X4EuhO0PyRY,0,51,228,,
609,Roseau,Roseau,stMbkRFQidI,0,0,504,,
610,Huancayo,Huancayo,Yg3u3pRs4zo,0,21,2440,,
619,Bridgetown,Bridgetown,VlciVJuF9Bw,0,26,836,,
622,Hamilton,Hamilton,Di61A7comPI,0,18,1557,,
626,Nassau,Nassau,ggeWCex3Y8Y,0,0,1650,,
633,Charlestown,Charlestown,eHLoSvcpTcA,0,0,491,,
634,Basseterre,Basseterre,8ES3aEcEDdQ,0,8,392,,
636,St. John's,St. John's,htItY1_KKgc,0,12,390,,
637,Sea view Farm,Sea view Farm,hyRTk8aESTs,0,3,911,,
640,Thimphu,Thimphu,0huxbfJBSRA,0,0,363,,
641,Nouméa,Nouméa,mpd_eZG5CBE,0,0,358,,
642,Port Louis,Port Louis,wPfatZjpiOI,0,30,806,,
646,Vacoas-Phoenix,Vacoas-Phoenix,1lz2v4wcCxo,0,45,539,,
647,Grand Baie,Grand Baie,_V4xAzANdjE,0,72,1011,,
653,Willemstad,Willemstad,eyVN6fypLyU,0,0,62,,
654,Pyongyang,Pyongyang,nQ_R9hhHB5A,0,82,3872,,
655,Malé,Malé,3IPkNOBCm1M,0,5,299,,
658,Les Anses-d'Arlet,Les Anses-d'Arlet,3Xc86Pu7zXA,0,30,247,,
661,Castries,Castries,RQ618y4Ato8,0,28,187,,
663,Babonneau,Babonneau,s3d-2VufeUM,0,30,275,,
667,Kingstown,Kingstown,9A2nqtmerIE,0,0,118,,
672,Vermont,Vermont,kErVZqYURs0,0,30,677,,
674,Brighton,Brighton,Gl07tLi8oSc,0,34,240,,
677,Sainte-Rose,Sainte-Rose,eKy0Kj-_PEk,0,32,759,,
678,Pointe-à-Pitre,Pointe-à-Pitre,V4bseJC9svQ,0,21,530,,
681,Bouillante,Bouillante,DbneXFHYKJk,0,92,488,,
684,Saint-François,Saint-François,qQfBLRXw0Vg,0,76,491,,
686,Pelican Key,Pelican Key,cmpCF1BOUDE,0,79,423,,
688,Marigot,Marigot,tItevXXD1Zg,0,77,228,,
701,Road Town,Road Town,ZMhtpElX9CM,0,0,810,,
705,George Town,George Town,AZJVdhRSjVg,0,15,1941,,
719,Antananarivo,Antananarivo,ZBwk5YJidZc,0,51,1794,,
720,Toamasina,Toamasina,UFsdlCfdFls,0,38,2043,,
721,Toliara,Toliara,K8u6MUAERJ0,0,31,1216,,
723,Port Moresby,Port Moresby,e7SAPvfvbZg,0,3,226,,
726,Nukuʻalofa,Nukuʻalofa,Hxg7TblRMlI,0,60,1567,,
730,Apia,Apia,CDW8T-TZYJs,1,24,504,,
740,Honiara,Honiara,HkHWZIJlL9U,0,59,237,,
741,Port Vila,Port Vila,n95sVQh3VE4,0,44,1005,,
745,Papeete,Papeete,PXTOoIyqXds,0,31,1527,,
756,Nadi,Nadi,dFBUd20pVKU,0,10,1083,,
767,Laura,Laura,5jjB02i0fHI,0,77,225,,
788,Funafuti,Funafuti,8bFAihDuDM0,0,30,374,,
808,Vientiane,Vientiane,OCtESrtTFos,0,0,1997,,
835,Nuuk,Nuuk,WJ92rHr-sH8,0,68,1435,,
837,Ilulissat,Ilulissat,c5je9ZObT1c,0,20,602,,
858,Naxxar,Naxxar,qTLQ441N8Sc,0,0,1590,,
860,Zabbar,Zabbar,dHhK0JgVcz0,0,0,486,,
862,Valletta,Valletta,4Sj6LfLos2g,0,11,2611,,
868,Birgu,Birgu,fsXk8bHD6uc,0,23,1044,,
872,Dingli,Dingli,xx8-5K6DIxI,0,34,840,,
874,St Paul's Bay,St Paul's Bay,#NAME?,0,20,98,,
875,Luqa,Luqa,5FMGg6JoYAA,0,0,46,,
883,Gżira,Gżira,d8fHXwNYfSk,0,6,250,,
887,Andorra la Vella,Andorra la Vella,tL_zMUNrhUw,0,0,491,,
888,Canillo,Canillo,0eflYQNAZq4,0,11,80,,
891,Sant Julià de Lòria,Sant Julià de Lòria,C30KC89jMwE,0,0,156,,
892,La Massana,La Massana,0qbqg_3XcZs,0,31,375,,
932,Maseru,Maseru,aTUTzj7Br4M,0,0,316,,
937,Teyateyaneng,Teyateyaneng,1yd383o1ycc,0,0,419,,
942,Manzini,Manzini,oreiMRvlsDo,0,0,438,,
943,Mbabane,Mbabane,5DOgshHF_vw,0,33,760,,
945,Swakopmund,Swakopmund,wWRuPnjz9F8,0,12,135,,
947,Windhoek,Windhoek,guqexstDK88,0,5,2345,,
951,Francistown,Francistown,wmzG0aqGnhM,0,90,565,,
952,Gaborone,Gaborone,vlqtvspPmrg,0,3,1419,,
955,Ponta do Ouro,Ponta do Ouro,KlOQvqQL5Mw,0,0,440,,
956,Beira,Beira,qD9-pBB2i0A,0,0,386,,
957,Maputo,Maputo,e37EakncZWw,0,81,155,,
958,Gorongosa,Gorongosa,vIOR4xAb1lg,0,52,197,,
959,Harare,Harare,SUYOKNVuhAM,0,20,1479,,
960,Bulawayo,Bulawayo,RUF7RfnLrKA,0,15,1062,,
963,Limbe,Limbe,YHsLa8BwFdo,0,62,2178,,
964,Zomba,Zomba,WzFS5ODQyqE,0,60,450,,
966,Blantyre,Blantyre,2JmdT2shcBI,0,13,1028,,
970,Lusaka,Lusaka,TNzb0TGxngg,0,8,193,,
971,Monze,Monze,Fbx96h9dF88,0,30,1624,,
972,Lilongwe,Lilongwe,vKa5C8VxX78,0,2,421,,
976,Durban,Durban,1v9fOgD2AUQ,0,0,1410,,
978,Ndola,Ndola,tBoY_54Sut8,0,0,20,,
980,Thyolo,Thyolo,jq2_QZssHRY,0,1,100,,
983,Cascais,Cascais,lDdqny7BTIE,0,59,461,,
986,Stockton,Stockton,cU7QOtN0vM0,0,40,1577,,
992,Lucena,Lucena,Cn5539ftMIU,0,42,737,,
993,Oran,Oran,LLO_J9yL3qg,0,40,435,,
994,Moroni,Moroni,J3TQia2hmd4,0,0,692,,
1008,Bujumbura,Bujumbura,Zg9nFyIx-Es,0,7,43,,
1009,Ngozi,Ngozi,WdSgpPaMh-U,0,0,368,,
1011,Mpehe,Mpehe,13kft1lcLFk,0,0,150,,
1014,Kigali,Kigali,58mwcxaIZVA,0,0,3346,,
1023,Lodrino,Lodrino,D6mUOH993D8,0,23,114,,
1028,Iconi,Iconi,9F3ixwy_1Xg,0,0,1637,,
1034,Franceville,Franceville,0LrA4BjXl5E,0,0,580,,
1035,Ntoum,Ntoum,Ch1VVxd8bm4,0,0,264,,
1036,Mounana,Mounana,FRCcRJJi79Q,0,0,310,,
1038,Libreville,Libreville,2D0V14I2mO8,0,0,627,,
1039,Port Gentil,Port Gentil,eReyDV1Amig,0,0,1433,,
1040,Rotterdam,Rotterdam,ADt1e5B3KoM,0,32,630,,
1042,Bangui,Bangui,k5nwg-7BKpk,0,23,885,,
1043,Malabo,Malabo,l4yc1co19_o,0,0,451,,
1044,Douala,Douala,NSBxcwBDRI4,0,61,577,,
1045,Buea,Buea,gQMSk2YEsOw,0,0,659,,
1049,Bafoussam,Bafoussam,TaqdmwyJPnQ,0,0,497,,
1050,Yaoundé,Yaoundé,5MLN46S7cxE,0,0,222,,
1052,Bamenda,Bamenda,MM2X4Bz-8DE,0,0,1495,,
1053,Lomé,Lomé,kYOc0Em12vY,0,0,601,,
1056,Addis Ababa,Addis Ababa,75QmOtqxLFM,0,0,1465,,
1057,Bishoftu,Bishoftu,eOuC0QcAmvk,0,78,814,,
1060,Gondar,Gondar,e963nL7vo8U,0,15,1935,,
1061,Hosanna,Hosanna,Xj6lYDetFDo,0,0,20,,
1064,Nyeri,Nyeri,9_ZXbRo4EN4,0,48,880,,
1072,Meru,Meru,gxyoPAvRkjc,0,38,967,,
1077,Chogoria,Chogoria,M0DOTYYpZXs,0,39,474,,
1115,Eldoret,Eldoret,QQKrdWS6q9Y,0,53,1340,,
1116,Mogadishu,Mogadishu,NE-6HWxzMPM,0,0,1093,,
1117,Afgoye,Afgoye,BSGxl4zVgZM,0,0,58,,
1118,Borama,Borama,ZtjStKvgvnw,0,5,610,,
1119,Hargeisa,Hargeisa,Nxn-FO3Z7zw,0,5,594,,
1120,Djibouti,Djibouti,oRBHrKXO_ec,0,0,2887,,
1123,Asmara,Asmara,RQVltW3QBG4,0,49,747,,
1124,Keren,Keren,lAM9iNMPIzM,0,5,590,,
1130,Mendefera,Mendefera,f4UrQp8I6rA,0,17,450,,
1133,Mitsiwa,Mitsiwa,NB5_-HGuY7g,0,32,586,,
1134,Omdurman,Omdurman,#NAME?,0,0,82,,
1136,Khartoum,Khartoum,XW-c5iHIWTw,0,0,301,,
1137,N'Djamena,N'Djamena,xZiioLx86Z4,0,0,791,,
1138,Minna,Minna,aqsRFjWIExI,0,25,128,,
1139,Niamey,Niamey,d8O5LsoYWPg,0,0,1392,,
1140,Bamako,Bamako,stcF4ss4Mgc,0,0,871,,
1142,Abidjan,Abidjan,S9sUTNozlM4,0,0,787,,
1143,Cotonou,Cotonou,oJNmHusRVaY,0,0,2898,,
1144,Benin City,Benin City,lmgVZTQpNyM,0,0,1575,,
1149,Porto-Novo,Porto-Novo,IC1WRUfMDx0,0,26,2161,,
1150,Austin,Austin,AL5Cmyk3y4E,0,14,2439,,
1159,Belize City,Belize City,tyh1U2u8rCs,0,52,752,,
1160,Tiksi,Tiksi,hqiKzShfEOw,1,35,486,,
1161,Lourinhã,Lourinhã,jxdQQsi_eKI,0,1,2709,,
1163,Funchal,Funchal,MdmynDuLEy8,0,2,1977,,
1165,Nazaré,Nazaré,JFHENHLxsYM,0,1,1650,,
1174,Ibadan,Ibadan,djlE77MnWYs,0,51,2225,,
1180,Abuja,Abuja,WD76kfYiocg,0,30,515,,
1182,Umuahia,Umuahia,#NAME?,0,0,1217,,
1183,Port Harcourt,Port Harcourt,wxVTfvrIjZw,0,0,71,,
1184,Onitsha,Onitsha,rtXE8XPqvII,0,7,141,,
1185,Enugu,Enugu,xZRxSTqzlrM,0,12,1448,,
1186,Awka,Awka,ie12h7I-A-c,0,6,183,,
1188,Lekki,Lekki,InROrJHFbag,0,39,1010,,
1189,Aba,Aba,yIrN7u2bvqI,0,0,965,,
1190,Abakaliki,Abakaliki,sQSU3RfphLE,0,0,125,,
1194,Kano,Kano,YsdNklvnZ10,0,60,370,,
1195,Kaduna,Kaduna,pAhGUk7AAXM,0,0,24,,
1196,Afikpo,Afikpo,#NAME?,0,60,1239,,
1197,Kumasi,Kumasi,qzFXq3M4TKs,0,7,2826,,
1198,Accra,Accra,7L7SPteLX9k,0,0,1265,,
1199,Cape Coast,Cape Coast,pj0C8jouofY,0,90,105,,
1200,Tamale,Tamale,XTZWfMzwZ3o,0,1,1377,,
1207,Ouagadougou,Ouagadougou,2vwIPzKmaAI,0,0,103,,
1208,Banjul,Banjul,PWmODxVQm-0,0,0,364,,
1211,Salekhard,Salekhard,6KHDNhzoUaA,0,7,1574,,
1213,Lakhdenpokhya,Lakhdenpokhya,93tK91w-C8w,0,0,533,,
1214,Monrovia,Monrovia,ipqfA_aFlJA,0,0,569,,
1215,Kabul,Kabul,Uz418IJRcTg,0,0,1588,,
1216,Robertsport,Robertsport,doZhwg-J0iA,0,6,45,,
1219,Pleebo,Pleebo,uQQ0ajS7XlI,0,0,46,,
1222,Buchanan,Buchanan,b5y96Esky0c,0,0,270,,
1224,Freetown,Freetown,XXMNmEeU94c,0,34,2230,,
1225,Bo,Bo,gh2OLpW3nxI,0,23,4572,,
1226,Kenema,Kenema,gj_MIl9GFy0,0,22,283,,
1228,Moyamba,Moyamba,Km2_sECQJEU,0,13,1305,,
1230,Koidu,Koidu,F_M7S_nQgH8,0,20,2662,,
1231,Pujehun,Pujehun,CE8q9RUpBpI,0,13,1680,,
1232,Magburaka,Magburaka,oy3MWTA1xxo,0,20,2652,,
1233,Makeni,Makeni,W-0T9TzoIv8,0,12,2096,,
1234,Segbwema,Segbwema,JkOab4ODhMc,0,64,1723,,
1235,Rokupr,Rokupr,FLJIhlfsoF4,0,100,920,,
1236,Kailahun,Kailahun,p-EV2UCysF0,0,13,1479,,
1237,Taiama,Taiama,ZRGoUof73Ek,0,20,1235,,
1238,Mange,Mange,EhI4C_c3y3w,0,13,2370,,
1239,Matru,Matru,rLFXdQc_7KM,0,18,1945,,
1240,Kalangba,Kalangba,YKtysexI-ok,0,25,2572,,
1241,Lunsar,Lunsar,G_wMpTrv1QQ,0,48,1373,,
1242,Tintafor,Tintafor,SVnn_QYyrbw,0,24,2230,,
1243,Mamana,Mamana,2gh8zQKKN9k,0,35,1263,,
1244,Kabala,Kabala,5t_n9bHxWmI,0,10,1865,,
1246,Petifu Junction,Petifu Junction,vnd4ycsYI_c,0,11,1569,,
1247,Mambolo,Mambolo,mxlM2baTzzE,0,28,2544,,
1248,Masoila,Masoila,ibDGjfLB_eQ,0,20,2302,,
1249,Kambia,Kambia,_LGt09Rkvjw,0,30,1972,,
1251,Waterloo,Waterloo,NyNOQAEB_Fs,0,38,2090,,
1254,Binkolo,Binkolo,AZMnu5ZEgx4,0,28,3031,,
1256,Port Loko,Port Loko,qAq5UnG290Y,0,14,1557,,
1257,Masiaka,Masiaka,GI5DKRFMt3k,0,20,1945,,
1258,Daru,Daru,dT1rrLUQ4Io,0,13,1566,,
1259,Pendembu,Pendembu,mAfB0hZHJ2M,0,12,1827,,
1260,Gbinti,Gbinti,1zcr8DQDkUQ,0,17,1005,,
1261,Luawa,Luawa,eC7tZeRYM14,0,18,1473,,
1262,Batkanu,Batkanu,rJiIJhCaKa4,0,39,2222,,
1263,Fadugu,Fadugu,V6xdlN27bio,0,40,1420,,
1264,Sussex,Sussex,C1jvLzxc73E,0,29,1850,,
1265,Makolo,Makolo,uQU-KOc2ohY,0,28,1865,,
1266,Kagbantama,Kagbantama,WgFTBLyMhY8,0,28,1820,,
1267,Moyamba Junction,Moyamba Junction,yFS_1s26Tb8,0,11,265,,
1269,Kassirie,Kassirie,v5gm054tG0o,0,22,1396,,
1270,Sinkunia,Sinkunia,wMtirsw4adk,0,38,1185,,
1271,Bandajuma,Bandajuma,noxAjh0g5yE,0,93,2030,,
1272,Berkane,Berkane,sMBxVchHwv8,0,0,367,,
1273,Marrakesh,Marrakesh,5aLjFLy64g4,0,13,2843,,
1274,Casablanca,Casablanca,1dc8qjbtG2Q,0,0,1236,,
1275,Tangier,Tangier,6Re-AuESJqc,0,14,2075,,
1276,Agadir,Agadir,LbB2xWRwKtk,0,0,1621,,
1278,Tétouan,Tétouan,H0X4XnxQ1pM,0,60,1798,,
1279,Ahfir,Ahfir,gBtu-PibUwc,0,0,63,,
1282,Fez,Fez,tVI4_HK3c1A,0,0,1572,,
1283,Settat,Settat,AetbK5RG5ZE,0,5,726,,
1284,Al Hoceima,Al Hoceima,EAWodskJ_gs,0,10,843,,
1285,Ouarzazate,Ouarzazate,xXe0UenuVeg,0,8,804,,
1288,Salé,Salé,J0E9Ch3oKqA,0,20,679,,
1290,Tobruk,Tobruk,SSNjfdk7o90,0,0,1704,,
1291,New Cairo,New Cairo,SXp9JIK96P0,0,49,436,,
1293,Giza,Giza,KnhIiOtmdQo,0,6,1592,,
1294,Banha,Banha,UvhZBFiBsQM,0,7,775,,
1295,Alexandria,Alexandria,02kJc-cjI3Q,1,30,1040,,
1296,Bissau,Bissau,1oiUIANQv6A,0,0,677,,
1297,Brikama,Brikama,p2IkteJp7ws,0,0,580,,
1298,Sanyang,Sanyang,dS_3TcxG3mY,0,1,395,,
1299,Serrekunda,Serrekunda,ESa6QOfl9xM,0,25,1224,,
1302,Sesimbra,Sesimbra,#NAME?,0,1,1439,,
1303,Ziguinchor,Ziguinchor,PYFB7nMiFTM,0,30,620,,
1304,Dakar,Dakar,R4Gp3N36eYc,0,66,1162,,
1325,Tanjeh,Tanjeh,fV9eYk2sQbo,0,0,1077,,
1331,Port-Gentil,Port-Gentil,AxcX2kqPrPo,0,35,659,,
1332,Conakry,Conakry,xcaR88rLA_Q,0,82,230,,
1333,Dubreka,Dubreka,W-cZHIHIsXQ,0,0,283,,
1334,Forecariah,Forecariah,9f-nFI3qSpA,0,0,190,,
1336,Khorira,Khorira,nrmPlzB56EE,0,0,12,,
1337,Panningen,Panningen,dMYR9NDnkSc,0,12,607,,
1338,Antwerp,Antwerp,axVMvxJyO2U,0,0,391,,
1339,Eindhoven,Eindhoven,_88FXb3Rr6A,0,38,1213,,
1340,Coyah,Coyah,61ND78qCa7E,0,24,700,,
1341,Nouakchott,Nouakchott,4IaKhverJk8,0,0,1624,,
1345,Jerada,Jerada,rz7vMS8fERA,0,76,1386,,
1346,Oujda,Oujda,9pa7mXTwrp4,0,60,2357,,
1348,Skhirat,Skhirat,LOtYimIdf48,0,5,500,,
1350,Khemisset,Khemisset,XdPlReG6avk,0,0,1715,,
1354,Ronda,Ronda,MvN1yEuis00,0,50,615,,
1355,Melilla,Melilla,LgxvfBqSs18,0,35,1422,,
1358,Saidia,Saidia,c_poErpGYnI,0,0,908,,
1361,Annaba,Annaba,9la5b3lwXRU,0,4,528,,
1363,El Madania,El Madania,KlD6281um-U,0,27,485,,
1364,El Harrach,El Harrach,rtlbVbWKz6I,0,0,645,,
1369,Ariana,Ariana,0wsuONzLXp0,0,0,1618,,
1371,Sanaa,Sanaa,6jMP4fn59Ms,0,65,147,,
1372,Taiz,Taiz,KxNelAeELQ8,0,0,1111,,
1373,Sousse,Sousse,5ja3nZYvmBI,0,8,612,,
1374,Nabeul,Nabeul,V95A4aDxFi0,0,0,373,,
1375,Muscat,Muscat,62-e-rcxCgc,0,57,1576,,
1377,Utrecht,Utrecht,jj0lIgFInD0,0,0,2219,,
1379,Tiwi,Tiwi,MC4cvrDgcmA,0,1,645,,
1380,Sur,Sur,00oxaRUK7hk,0,2,515,,
1384,Haifa,Haifa,eNqef9pbHwQ,0,39,807,,
1386,Jerusalem,Jerusalem,b7wdJAawLqE,0,0,600,,
1387,Be'er Sheva,Be'er Sheva,MClZXRTWYY8,0,20,788,,
1389,Tehran,Tehran,2GLGl1QCwSo,0,7,1830,,
1422,Ho Chi Minh City,Ho Chi Minh City,4BB6l7wfNpM,0,22,2580,,
